,map,regular_time,regular_sum_of_costs,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
50,mazes/maze50x50_3_53.txt,0.15856504440307617,176,0.17008161544799805,176,0.17008161544799805,176,0.17008161544799805,176
51,mazes/maze50x50_3_52.txt,0.20106291770935059,177,0.2013552188873291,177,0.2013552188873291,177,0.2013552188873291,177
52,mazes/maze50x50_3_51.txt,0.03414559364318848,110,0.09197306632995605,110,0.09197306632995605,110,0.09197306632995605,110
53,mazes/maze50x50_3_50.txt,0.16966843605041504,155,0.14858078956604004,155,0.14858078956604004,155,0.14858078956604004,155
54,mazes/maze50x50_3_5.txt,851.5750434398651,185,61.81523299217224,False,120.37958216667175,False,305.224573135376,False
55,mazes/maze50x50_3_49.txt,0.05042409896850586,110,0.06379389762878418,110,0.06379389762878418,110,0.06379389762878418,110
56,mazes/maze50x50_3_48.txt,0.23839950561523438,178,0.5496006011962891,178,0.5496006011962891,178,0.5496006011962891,178
57,mazes/maze50x50_3_47.txt,1800.37091755867,False,61.880085945129395,False,128.65444612503052,False,301.6650471687317,False
58,mazes/maze50x50_3_46.txt,0.07887935638427734,104,0.0945580005645752,104,0.0945580005645752,104,0.0945580005645752,104
59,mazes/maze50x50_3_45.txt,0.07748174667358398,116,0.07970046997070312,116,0.07970046997070312,116,0.07970046997070312,116
60,mazes/maze50x50_3_44.txt,0.04834103584289551,126,0.04871773719787598,126,0.04871773719787598,126,0.04871773719787598,126
61,mazes/maze50x50_3_43.txt,0.11055278778076172,198,0.29054784774780273,198,0.29054784774780273,198,0.29054784774780273,198
62,mazes/maze50x50_3_42.txt,424.1717185974121,154,60.48775506019592,False,121.50735473632812,False,306.05072593688965,False
63,mazes/maze50x50_3_41.txt,0.4408681392669678,231,1.0012693405151367,231,1.0012693405151367,231,1.0012693405151367,231
64,mazes/maze50x50_3_40.txt,0.19930768013000488,192,0.20952153205871582,192,0.20952153205871582,192,0.20952153205871582,192
65,mazes/maze50x50_3_4.txt,0.16662859916687012,168,0.3992185592651367,168,0.3992185592651367,168,0.3992185592651367,168
66,mazes/maze50x50_3_39.txt,0.2260737419128418,204,0.22060203552246094,204,0.22060203552246094,204,0.22060203552246094,204
67,mazes/maze50x50_3_38.txt,0.18478178977966309,165,0.37314867973327637,165,0.37314867973327637,165,0.37314867973327637,165
68,mazes/maze50x50_3_37.txt,0.65195631980896,287,1.7189946174621582,287,1.7189946174621582,287,1.7189946174621582,287
69,mazes/maze50x50_3_36.txt,0.27250242233276367,166,0.39808130264282227,166,0.39808130264282227,166,0.39808130264282227,166
70,mazes/maze50x50_3_35.txt,0.06467103958129883,119,0.06747746467590332,119,0.06747746467590332,119,0.06747746467590332,119
71,mazes/maze50x50_3_34.txt,1800.6986610889435,False,62.40172839164734,False,123.69556331634521,False,303.1412863731384,False
72,mazes/maze50x50_3_33.txt,0.12709665298461914,155,0.16188669204711914,155,0.16188669204711914,155,0.16188669204711914,155
73,mazes/maze50x50_3_32.txt,0.3070681095123291,216,0.5565733909606934,216,0.5565733909606934,216,0.5565733909606934,216
74,mazes/maze50x50_3_31.txt,0.38666534423828125,226,1.203340768814087,226,1.203340768814087,226,1.203340768814087,226
