,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
591,mazes/maze12x12_3_105.txt,0.004471778869628906,41,0.02998661994934082,41,0.02998661994934082,41,0.02998661994934082,41,0.02998661994934082,41
592,mazes/maze12x12_3_104.txt,0.0839695930480957,43,0.41913414001464844,43,0.41913414001464844,43,0.41913414001464844,43,0.41913414001464844,43
593,mazes/maze12x12_3_103.txt,0.0036890506744384766,39,0.003668069839477539,39,0.003668069839477539,39,0.003668069839477539,39,0.003668069839477539,39
594,mazes/maze12x12_3_102.txt,0.007071495056152344,33,0.010988712310791016,33,0.010988712310791016,33,0.010988712310791016,33,0.010988712310791016,33
595,mazes/maze12x12_3_101.txt,0.02059626579284668,48,0.06050395965576172,48,0.06050395965576172,48,0.06050395965576172,48,0.06050395965576172,48
596,mazes/maze12x12_3_100.txt,0.003439188003540039,26,0.009990215301513672,26,0.009990215301513672,26,0.009990215301513672,26,0.009990215301513672,26
597,mazes/maze12x12_3_10.txt,0.003611326217651367,35,0.0033888816833496094,35,0.0033888816833496094,35,0.0033888816833496094,35,0.0033888816833496094,35
598,mazes/maze12x12_3_1.txt,0.005818605422973633,31,0.06317591667175293,31,0.06317591667175293,31,0.06317591667175293,31,0.06317591667175293,31
599,mazes/maze12x12_3_0.txt,0.005393028259277344,31,0.009580850601196289,31,0.009580850601196289,31,0.009580850601196289,31,0.009580850601196289,31
600,mazes/maze100x100_3_99.txt,3.283399820327759,509,10.036430358886719,509,10.036430358886719,509,10.036430358886719,509,10.036430358886719,509
601,mazes/maze100x100_3_98.txt,2.8778929710388184,452,5.976559162139893,452,5.976559162139893,452,5.976559162139893,452,5.976559162139893,452
602,mazes/maze100x100_3_97.txt,1.8360497951507568,392,9.692609071731567,392,9.692609071731567,392,9.692609071731567,392,9.692609071731567,392
603,mazes/maze100x100_3_96.txt,0.17766594886779785,193,0.178009033203125,193,0.178009033203125,193,0.178009033203125,193,0.178009033203125,193
604,mazes/maze100x100_3_95.txt,2.775777816772461,445,2.9120595455169678,445,2.9120595455169678,445,2.9120595455169678,445,2.9120595455169678,445
605,mazes/maze100x100_3_94.txt,1.0496785640716553,398,1.2012066841125488,398,1.2012066841125488,398,1.2012066841125488,398,1.2012066841125488,398
606,mazes/maze100x100_3_93.txt,2.290595054626465,316,1.988107442855835,316,1.988107442855835,316,1.988107442855835,316,1.988107442855835,316
607,mazes/maze100x100_3_92.txt,1.1484112739562988,296,1.271698236465454,296,1.271698236465454,296,1.271698236465454,296,1.271698236465454,296
608,mazes/maze100x100_3_91.txt,0.5752847194671631,190,0.5530638694763184,190,0.5530638694763184,190,0.5530638694763184,190,0.5530638694763184,190
609,mazes/maze100x100_3_90.txt,5.140275239944458,612,15.348259925842285,612,15.348259925842285,612,15.348259925842285,612,15.348259925842285,612
610,mazes/maze100x100_3_9.txt,1.0131251811981201,356,1.4797985553741455,356,1.4797985553741455,356,1.4797985553741455,356,1.4797985553741455,356
611,mazes/maze100x100_3_89.txt,3.5433754920959473,487,8.641536474227905,487,8.641536474227905,487,8.641536474227905,487,8.641536474227905,487
612,mazes/maze100x100_3_88.txt,0.7611420154571533,311,1.0933892726898193,311,1.0933892726898193,311,1.0933892726898193,311,1.0933892726898193,311
613,mazes/maze100x100_3_87.txt,0.6823306083679199,244,0.6235518455505371,244,0.6235518455505371,244,0.6235518455505371,244,0.6235518455505371,244
614,mazes/maze100x100_3_86.txt,1.4885804653167725,364,1.4363186359405518,364,1.4363186359405518,364,1.4363186359405518,364,1.4363186359405518,364
615,mazes/maze100x100_3_85.txt,2.1875970363616943,336,1.9237372875213623,336,1.9237372875213623,336,1.9237372875213623,336,1.9237372875213623,336
616,mazes/maze100x100_3_84.txt,0.48162055015563965,190,2.0603108406066895,190,2.0603108406066895,190,2.0603108406066895,190,2.0603108406066895,190
617,mazes/maze100x100_3_83.txt,0.40451669692993164,203,0.4518461227416992,203,0.4518461227416992,203,0.4518461227416992,203,0.4518461227416992,203
618,mazes/maze100x100_3_82.txt,1.2801504135131836,241,1.2645642757415771,241,1.2645642757415771,241,1.2645642757415771,241,1.2645642757415771,241
619,mazes/maze100x100_3_81.txt,2.337761878967285,351,1.5905044078826904,351,1.5905044078826904,351,1.5905044078826904,351,1.5905044078826904,351
620,mazes/maze100x100_3_80.txt,7.794470548629761,338,8.356055498123169,338,8.356055498123169,338,8.356055498123169,338,8.356055498123169,338
621,mazes/maze100x100_3_8.txt,1.0371708869934082,324,2.3594510555267334,324,2.3594510555267334,324,2.3594510555267334,324,2.3594510555267334,324
622,mazes/maze100x100_3_79.txt,1.411219596862793,369,1.428605556488037,369,1.428605556488037,369,1.428605556488037,369,1.428605556488037,369
623,mazes/maze100x100_3_78.txt,1.8755860328674316,376,3.4961020946502686,376,3.4961020946502686,376,3.4961020946502686,376,3.4961020946502686,376
624,mazes/maze100x100_3_77.txt,6.269193649291992,650,19.374733209609985,650,19.374733209609985,650,19.374733209609985,650,19.374733209609985,650
625,mazes/maze100x100_3_76.txt,0.8601181507110596,312,1.0397298336029053,312,1.0397298336029053,312,1.0397298336029053,312,1.0397298336029053,312
